data.num_clients,Client ID,client.local_epochs,strategy,server_kWh,round_energy_kWh,round_server_kWh
100,48,3,fedavg,2.23E-02,1.61E-05,0.0001258049799
100,48,3,fedyogi,4.62E-03,7.61E-06,8.71E-05
100,48,5,fedyogi,0.02965434505,3.11E-05,0.0001251238188
100,48,10,fedavg,1.72E-02,7.06E-05,0.0001605658845
100,48,10,fedyogi,5.67E-02,7.11E-05,0.0001503846312
100,48,20,fedyogi,4.08E-02,0.0001543541406,0.0002051898424
100,49,3,fedavg,0.02226748145,9.78E-06,0.0001258049799
100,49,3,fedyogi,0.004617529383,2.90E-06,8.71E-05
100,49,5,fedyogi,0.02965434505,1.77E-05,0.0001251238188
100,49,10,fedavg,1.72E-02,4.09E-05,0.0001605658845
100,49,10,fedyogi,5.97E-02,3.97E-05,0.0001502930365
100,49,20,fedyogi,4.08E-02,9.02E-05,0.0002051898424
100,50,3,fedavg,2.23E-02,1.28E-05,0.0001258049799
100,50,3,fedyogi,4.62E-03,1.06E-05,8.71E-05
100,50,5,fedyogi,0.02965434505,2.76E-05,0.0001251238188
100,50,10,fedavg,1.72E-02,6.24E-05,0.0001605658845
100,50,10,fedyogi,6.48E-02,6.20E-05,0.0001501373255
100,50,20,fedyogi,4.08E-02,0.0001307363252,0.0002051898424
100,51,3,fedavg,0.02226748145,6.46E-06,0.0001258049799
100,51,3,fedyogi,0.004617529383,4.46E-06,8.71E-05
100,51,5,fedyogi,0.02965434505,1.59E-05,0.0001251238188
100,51,10,fedavg,1.72E-02,4.02E-05,0.0001605658845
100,51,10,fedyogi,6.31E-02,3.96E-05,0.0001501892292
100,51,20,fedyogi,4.08E-02,9.01E-05,0.0002051898424
100,52,3,fedavg,0.02226748145,1.85E-05,0.0001258049799
100,52,3,fedyogi,0.004617529383,9.26E-06,8.71E-05
100,52,5,fedyogi,0.02965434505,3.82E-05,0.0001251238188
100,52,10,fedavg,1.72E-02,8.07E-05,0.0001605658845
100,52,10,fedyogi,6.37E-02,8.29E-05,0.0001501690444
100,52,20,fedyogi,4.08E-02,0.0001730032142,0.0002051898424
100,53,3,fedavg,0.02226748145,1.42E-05,0.0001258049799
100,53,3,fedyogi,0.004617529383,8.97E-06,8.71E-05
100,53,5,fedyogi,0.02965434505,2.74E-05,0.0001251238188
100,53,10,fedavg,1.72E-02,5.87E-05,0.0001605658845
100,53,10,fedyogi,5.91E-02,6.17E-05,0.0001503120678
100,53,20,fedyogi,4.08E-02,0.0001322081482,0.0002051898424
100,54,3,fedavg,0.02226748145,1.21E-05,0.0001258049799
100,54,3,fedyogi,0.004617529383,5.69E-06,8.71E-05
100,54,5,fedyogi,0.02965434505,2.30E-05,0.0001251238188
100,54,10,fedavg,1.72E-02,6.39E-05,0.0001605658845
100,54,10,fedyogi,6.83E-02,5.65E-05,0.0001500285749
100,54,20,fedyogi,4.08E-02,0.000121872505,0.0002051898424
100,55,3,fedavg,0.02226748145,1.76E-05,0.0001258049799
100,55,3,fedyogi,0.004617529383,1.16E-05,8.71E-05
100,55,5,fedyogi,0.02965434505,3.34E-05,0.0001251238188
100,55,10,fedavg,1.72E-02,7.33E-05,0.0001605658845
100,55,10,fedyogi,6.75E-02,7.36E-05,0.0001500549955
100,55,20,fedyogi,4.08E-02,0.0001564498351,0.0002051898424
100,56,3,fedavg,0.02226748145,2.04E-05,0.0001258049799
100,56,3,fedyogi,0.004617529383,9.51E-06,8.71E-05
100,56,5,fedyogi,0.02965434505,3.45E-05,0.0001251238188
100,56,10,fedavg,1.72E-02,8.13E-05,0.0001605658845
100,56,10,fedyogi,6.04E-02,7.93E-05,0.0001502725482
100,56,20,fedyogi,4.08E-02,0.0001674843278,0.0002051898424
100,57,3,fedavg,0.02226748145,2.42E-05,0.0001258049799
100,57,3,fedyogi,0.004617529383,1.82E-05,8.71E-05
100,57,5,fedyogi,0.02965434505,4.52E-05,0.0001251238188
100,57,10,fedavg,1.72E-02,9.67E-05,0.0001605658845
