,data.num_clients,Client ID,client.local_epochs,strategy,server_kWh,round_energy_kWh,round_server_kWh
349,100,35,3,fedyogi,0.00461752938317,1.2704463340925927e-05,8.71231959088679e-05
350,100,35,5,fedadam,0.042669275012061546,3.942917202052084e-05,0.0001237421221254209
351,100,35,5,fedyogi,0.0296543450451,4.344978289892361e-05,0.0001251238187556962
352,100,35,10,fedadam,0.0272101996004013,8.98171908249495e-05,0.00015165826074269668
353,100,35,10,fedavg,0.0171805496442688,9.186867624872224e-05,0.00016056588452587666
354,100,35,10,fedyogi,0.06082897743447573,8.837077722204861e-05,0.00015025843405187575
355,100,35,20,fedadam,0.0257168515389566,0.00018607474197999998,0.00020573481231165282
356,100,35,20,fedyogi,0.0408327786327263,0.00018403470599583332,0.00020518984237550904
357,100,36,3,fedadam,0.0138436746614891,1.6071518558650795e-05,0.0001173192767922805
358,100,36,3,fedavg,0.0222674814497875,1.3949056737808643e-05,0.00012580497994230227
359,100,36,3,fedyogi,0.00461752938317,7.872048505462964e-06,8.71231959088679e-05
360,100,36,5,fedadam,0.043937072066778986,2.967715323041063e-05,0.00012363396555021156
361,100,36,5,fedyogi,0.0296543450451,3.0119605960916665e-05,0.0001251238187556962
362,100,36,10,fedadam,0.026684649081525298,6.562950117166667e-05,0.00015172375900805415
363,100,36,10,fedavg,0.0171805496442688,6.529252806069444e-05,0.00016056588452587666
364,100,36,10,fedyogi,0.060069165312246396,6.63745881917029e-05,0.00015028175309447122
365,100,36,20,fedadam,0.0257168515389566,0.0001415512819116204,0.00020573481231165282
366,100,36,20,fedyogi,0.04083277863272631,0.00014026972080559525,0.00020518984237550904
367,100,37,3,fedadam,0.0138436746614891,8.790876074722221e-06,0.00011731927679228051
368,100,37,3,fedavg,0.0222674814497875,9.629944800524692e-06,0.00012580497994230227
369,100,37,3,fedyogi,0.00461752938317,3.869568036666666e-06,8.712319590886792e-05
370,100,37,5,fedadam,0.04023180760964814,2.041611074147059e-05,0.00012395006402388833
371,100,37,5,fedyogi,0.0296543450451,2.0461349749340278e-05,0.0001251238187556962
372,100,37,10,fedadam,0.028695451066789994,4.989144061518117e-05,0.00015147315694929523
373,100,37,10,fedavg,0.0171805496442688,5.309588994861111e-05,0.00016056588452587666
374,100,37,10,fedyogi,0.0745598679290486,4.9240252732718254e-05,0.0001498370256392579
375,100,37,20,fedadam,0.025716851538956604,0.00010517877064476191,0.00020573481231165282
376,100,37,20,fedyogi,0.0408327786327263,0.00010973038651805557,0.00020518984237550904
377,100,38,3,fedadam,0.0138436746614891,2.8786081433293656e-05,0.0001173192767922805
378,100,38,3,fedavg,0.0222674814497875,2.820367024326389e-05,0.00012580497994230227
379,100,38,3,fedyogi,0.00461752938317,1.1247091527222224e-05,8.712319590886792e-05
380,100,38,5,fedadam,0.04543173806813008,5.156227151566667e-05,0.00012350645464049111
381,100,38,5,fedyogi,0.0296543450451,5.183335933288195e-05,0.0001251238187556962
382,100,38,10,fedadam,0.028611667650737298,0.00011070336252490742,0.00015148359870174354
383,100,38,10,fedavg,0.0171805496442688,0.00010782936684731483,0.00016056588452587666
384,100,38,10,fedyogi,0.060156835941734405,0.00010875339194153846,0.0001502790624357102
385,100,38,20,fedadam,0.0257168515389566,0.0002258845730240741,0.00020573481231165282
386,100,38,20,fedyogi,0.04083277863272631,0.00022493518776924603,0.00020518984237550904
387,100,39,3,fedadam,0.0138436746614891,1.6773000897579368e-05,0.0001173192767922805
388,100,39,3,fedavg,0.0222674814497875,1.7369561307314816e-05,0.00012580497994230227
389,100,39,3,fedyogi,0.00461752938317,1.4524710888333334e-05,8.712319590886792e-05
390,100,39,5,fedadam,0.04089846536073557,3.381626963726496e-05,0.00012389319102601692
391,100,39,5,fedyogi,0.0296543450451,3.4908676544801584e-05,0.0001251238187556962
392,100,39,10,fedadam,0.027901713441027612,7.660036959576022e-05,0.00015157207881459482
393,100,39,10,fedavg,0.0171805496442688,7.791265718486112e-05,0.00016056588452587666
394,100,39,10,fedyogi,0.07213676960647691,7.577569513874183e-05,0.00014991139182971987
395,100,39,20,fedadam,0.025716851538956597,0.00015893029891505557,0.00020573481231165284
396,100,39,20,fedyogi,0.0408327786327263,0.00016105404098166668,0.00020518984237550904
397,100,40,3,fedadam,0.0138436746614891,1.5327760902291665e-05,0.00011731927679228051
398,100,40,3,fedavg,0.0222674814497875,1.6238524041111113e-05,0.00012580497994230227
399,100,40,3,fedyogi,0.00461752938317,1.169178028e-05,8.712319590886792e-05
400,100,40,5,fedadam,0.042485110808323644,3.066665003037778e-05,0.00012375783329108287
401,100,40,5,fedyogi,0.029654345045099995,3.0477695032361115e-05,0.0001251238187556962
402,100,40,10,fedadam,0.028086117131861297,6.766110783979798e-05,0.00015154909696710097
403,100,40,10,fedavg,0.0171805496442688,7.199924282583333e-05,0.00016056588452587666
404,100,40,10,fedyogi,0.059955193493912005,6.9787178377875e-05,0.00015028525095086052
405,100,40,20,fedadam,0.0257168515389566,0.00014564125032833332,0.00020573481231165282
406,100,40,20,fedyogi,0.0408327786327263,0.00014526671986225695,0.00020518984237550904
407,100,41,3,fedadam,0.0138436746614891,4.7280016289814815e-06,0.00011731927679228051
408,100,41,3,fedavg,0.0222674814497875,6.734515409259258e-06,0.00012580497994230227
409,100,41,3,fedyogi,0.00461752938317,5.156731165277777e-06,8.712319590886792e-05
410,100,41,5,fedadam,0.045227111175087965,1.4803764366203706e-05,0.00012352391149122666
411,100,41,5,fedyogi,0.0296543450451,1.5307023326547617e-05,0.0001251238187556962
412,100,41,10,fedadam,0.029024600201282724,3.876488408910715e-05,0.00015143213577896268
413,100,41,10,fedavg,0.0171805496442688,4.172429114847222e-05,0.00016056588452587666
414,100,41,10,fedyogi,0.06519789713729437,3.9233086603715276e-05,0.0001501243495569519
415,100,41,20,fedadam,0.0257168515389566,8.518563701430555e-05,0.00020573481231165282
416,100,41,20,fedyogi,0.0408327786327263,8.57655290776389e-05,0.00020518984237550904
417,100,42,3,fedadam,0.0138436746614891,2.0212070179722225e-05,0.00011731927679228052
418,100,42,3,fedavg,0.0222674814497875,1.7636683966166668e-05,0.00012580497994230227
419,100,42,3,fedyogi,0.00461752938317,7.199260080555556e-06,8.712319590886792e-05
420,100,42,5,fedadam,0.042157707779456266,3.567971256096065e-05,0.00012378576425225974
421,100,42,5,fedyogi,0.029654345045099995,3.504376793208334e-05,0.0001251238187556962
422,100,42,10,fedadam,0.027326988604595967,7.937148678790741e-05,0.00015164370557261726
423,100,42,10,fedavg,0.0171805496442688,8.188252561116668e-05,0.00016056588452587666
424,100,42,10,fedyogi,0.06082897743447573,8.065458079732511e-05,0.00015025843405187575
425,100,42,20,fedadam,0.0257168515389566,0.0001652505823538889,0.00020573481231165282
426,100,42,20,fedyogi,0.0408327786327263,0.0001676565998153241,0.00020518984237550904
427,100,43,3,fedadam,0.0138436746614891,1.4226208803240744e-05,0.00011731927679228051
428,100,43,3,fedavg,0.0222674814497875,1.6753133540555557e-05,0.00012580497994230227
429,100,43,3,fedyogi,0.00461752938317,8.698472236666667e-06,8.712319590886792e-05
430,100,43,5,fedadam,0.03679507196180088,3.0148857082298854e-05,0.0001242432541336049
431,100,43,5,fedyogi,0.029654345045099995,3.025991682050926e-05,0.0001251238187556962
432,100,43,10,fedadam,0.02727757787205207,6.535337445108975e-05,0.00015164986352918933
433,100,43,10,fedavg,0.0171805496442688,6.931204824572917e-05,0.00016056588452587666
434,100,43,10,fedyogi,0.06894268545399607,6.72780879538492e-05,0.00015000941998987428
435,100,43,20,fedadam,0.0257168515389566,0.0001420784402413889,0.00020573481231165282
436,100,43,20,fedyogi,0.0408327786327263,0.00014231779891708335,0.00020518984237550904
437,100,44,3,fedadam,0.0138436746614891,6.993132682777779e-06,0.00011731927679228051
438,100,44,3,fedavg,0.0222674814497875,7.405883353632479e-06,0.00012580497994230227
439,100,44,3,fedyogi,0.00461752938317,3.6251976887500004e-06,8.712319590886792e-05
440,100,44,5,fedadam,0.035898532227579855,1.7915607078316992e-05,0.0001243197385100527
441,100,44,5,fedyogi,0.0296543450451,1.739666210404762e-05,0.0001251238187556962
442,100,44,10,fedadam,0.02950106083652745,4.057479938175214e-05,0.00015137275548344632
443,100,44,10,fedavg,0.0171805496442688,4.0774634820416665e-05,0.00016056588452587666
444,100,44,10,fedyogi,0.06683624202585137,4.0464717740208336e-05,0.00015007406787135544
445,100,44,20,fedadam,0.0257168515389566,8.957263378356482e-05,0.00020573481231165282
446,100,44,20,fedyogi,0.04083277863272631,9.054832199579365e-05,0.00020518984237550904
447,100,45,3,fedadam,0.0138436746614891,6.184854835972222e-06,0.00011731927679228051
448,100,45,3,fedavg,0.0222674814497875,8.423350903472223e-06,0.00012580497994230227
449,100,45,5,fedadam,0.04073421634959808,1.6687948272838163e-05,0.0001239072032138983
450,100,45,5,fedyogi,0.0296543450451,1.715271100075397e-05,0.0001251238187556962
451,100,45,10,fedadam,0.028451082769969632,4.214221562090278e-05,0.00015150361206060274
452,100,45,10,fedavg,0.0171805496442688,5.110159384185185e-05,0.00016056588452587666
453,100,45,10,fedyogi,0.06683624202585137,4.253654136166667e-05,0.00015007406787135544
454,100,45,20,fedadam,0.0257168515389566,0.00010322133401666667,0.00020573481231165282
455,100,45,20,fedyogi,0.0408327786327263,9.520594906185186e-05,0.00020518984237550904
456,100,46,3,fedadam,0.0138436746614891,7.129720763888889e-06,0.00011731927679228051
457,100,46,3,fedavg,0.0222674814497875,7.860188740972222e-06,0.00012580497994230227
458,100,46,3,fedyogi,0.00461752938317,2.734993683333334e-06,8.712319590886792e-05
459,100,46,5,fedadam,0.042485110808323644,1.8578976638288888e-05,0.00012375783329108287
460,100,46,5,fedyogi,0.0296543450451,1.8493283468076924e-05,0.0001251238187556962
461,100,46,10,fedadam,0.0290934222930403,4.2767299474597226e-05,0.00015142355862516588
462,100,46,10,fedavg,0.0171805496442688,4.4550102760763886e-05,0.00016056588452587666
463,100,46,10,fedyogi,0.06477509845637644,4.228061394708782e-05,0.0001501373254758155
